Name,Type,Average AA,Use,Recipes
Admiral,Pellet,14.3,Boil,"5,877"
Ahtanum,Pellet,5.5,Boil,"18,675"
Amarillo,Pellet,8.6,Boil,"257,401"
Apollo,Plug,18.9,Boil,"15,865"
Aquila,Leaf/Whole,6.9,Boil,134
Ariana,Pellet,10.9,Whirlpool,803
Aurora,Pellet,8.4,Boil,"4,370"
Azacca,Pellet,13.8,Boil,"35,089"
B. C. Goldings,Pellet,5,Boil,"2,223"
Banner,Pellet,11.1,Boil,119
Barbe Rouge,Pellet,8.7,Boil,"1,086"
Belma,Leaf/Whole,10.3,First Wort,"8,098"
Bramling Cross,Pellet,6.4,Boil,"10,239"
Bravo,Pellet,15.2,Dry Hop,"13,226"
Brewer's Gold,Leaf/Whole,8.6,Boil,"2,827"
Bullion,Leaf/Whole,8.3,Boil,"1,451"
Callista,Pellet,3.6,Whirlpool,974
Calypso,Pellet,13.3,Boil,"10,840"
Cascade,Pellet,6.9,Boil,"470,841"
Centennial,Pellet,9.8,Aroma,"279,007"
Challenger,Pellet,7.9,Boil,"32,365"
Chinook,Pellet,12.7,Boil,"159,002"
Citra,Pellet,11.8,Dry Hop,"448,031"
Cluster,Pellet,6.8,Boil,"22,177"
Columbia,Pellet,9.6,Boil,916
Columbus,Pellet,14.9,Boil,"154,287"
Comet,Leaf/Whole,10.5,Boil,"9,047"
Crystal,Plug,4.2,Aroma,"24,780"
CTZ,Pellet,15.6,Boil,"14,685"
Domestic Hallertau,Pellet,4,Boil,"36,138"
Dr. Rudi,Leaf/Whole,11.2,Boil,"2,317"
East Kent Goldings,Pellet,5.2,Boil,"161,716"
Ekuanot,Pellet,14.4,Boil,"16,976"
El Dorado,Leaf/Whole,15,Boil,"59,681"
Ella,Pellet,14.8,Boil,"6,190"
Eroica,Leaf/Whole,11.7,Boil,223
Falconer's Flight,Pellet,10.2,Dry Hop,"4,832"
First Gold,Leaf/Whole,7.7,Boil,"8,055"
Fuggles,Pellet,4.6,Boil,"114,222"
Galaxy,Leaf/Whole,14.5,Boil,"112,460"
Galena,Pellet,13,Boil,"19,089"
Glacier,Pellet,5.5,Boil,"9,244"
Goldings,Leaf/Whole,4.7,Boil,"22,304"
Green Bullet,Pellet,11.9,Boil,"3,991"
Hallertau Blanc,Pellet,9.6,Boil,"17,864"
Hallertau Hersbrucker,Plug,3.8,Boil,"48,239"
Hallertau Mittelfruh,Pellet,3.8,Boil,"87,203"
Hallertau Tradition (Germany),Pellet,5.2,Boil,"9,659"
Herald,Pellet,12.2,Boil,37
Herkules,Pellet,15.8,Boil,"1,151"
Hersbrucker,Pellet,3.4,Boil,"10,991"
Horizon,Pellet,12.1,Boil,"9,748"
Huell Melon,Leaf/Whole,6.9,Boil,"13,301"
Huller Bitterer,Pellet,5.7,Boil,86
Jarrylo,Pellet,14.9,Boil,"3,413"
Kent Goldings,Pellet,5.2,Boil,"23,779"
Kohatu,Pellet,6.6,Boil,"3,621"
Lemondrop,Pellet,5.8,Boil,"12,047"
Liberty,Leaf/Whole,4.2,Boil,"18,213"
Loral,Pellet,11.4,Boil,"6,134"
Lublin,Pellet,4.3,Dry Hop,"1,545"
Magnum,Pellet,14,Boil,"143,255"
Mandarina Bavaria,Leaf/Whole,8.3,First Wort,"26,132"
Medusa,Pellet,4.1,Whirlpool,340
Meridian,Pellet,6.3,Boil,342
Millenium,Pellet,15.8,Boil,"2,592"
Monroe,Pellet,3,Boil,222
Mosaic,Leaf/Whole,12.3,First Wort,"235,913"
Motueka,Pellet,7,Boil,"32,334"
Mount Hood,Pellet,5.1,Boil,"22,533"
Mount Rainier,Pellet,6.3,Boil,597
Moutere,Pellet,17.4,Boil,"1,581"
Nelson Sauvin,Pellet,12.1,Boil,"53,638"
Newport,Leaf/Whole,13.4,Boil,"1,285"
Northdown,Leaf/Whole,8.2,Boil,"5,806"
Northern Brewer,Pellet,8.1,Boil,"73,917"
Nugget,Pellet,13.7,Boil,"51,631"
Olympic,Pellet,12,Boil,97
Omega,Pellet,10,Boil,32
Opal,Leaf/Whole,7.2,Boil,"1,565"
Orion,Pellet,7,Boil,18
Pacific Gem,Pellet,14.9,Boil,"5,974"
Pacific Jade,Pellet,13,Boil,"1,040"
Pacifica,Pellet,5.1,Boil,"4,713"
Palisade,Pellet,7.7,Boil,"6,589"
Perle,Leaf/Whole,7.8,Boil,"54,302"
Phoenix,Pellet,10.5,Boil,"2,672"
Pilgrim,Leaf/Whole,10.4,Boil,"2,844"
Pioneer,Pellet,8.9,Boil,685
Pride of Ringwood,Pellet,9.8,Boil,"2,926"
Progress,Leaf/Whole,6.3,Boil,"2,561"
Rakau,Pellet,10.6,Boil,"9,665"
Record,Leaf/Whole,6.3,Boil,10
Riwaka,Pellet,5.4,Dry Hop,"5,137"
Saaz,Pellet,3.5,Boil,"166,852"
Santiam,Pellet,6.5,Boil,"2,052"
Saphir,Leaf/Whole,4,Aroma,"5,994"
Satus,Pellet,12.8,Boil,26
Simcoe,Pellet,12.7,Boil,"239,840"
Sonnet,Leaf/Whole,4.6,Boil,473
Sorachi Ace,Pellet,11.5,Boil,"19,712"
Southern Cross,Leaf/Whole,12.8,Aroma,"3,687"
Southern Sublime,Pellet,11.5,Boil,53
Sovereign,Pellet,5.5,Boil,789
Spalt,Pellet,4.2,Boil,"10,703"
Spalter Select (Germany),Pellet,4.1,Boil,"1,669"
Sterling,Leaf/Whole,8.3,Boil,"14,710"
Sticklebract,Pellet,11.8,Boil,512
Strisselspalt,Pellet,3,Aroma,"5,134"
Styrian Goldings,Pellet,4.8,Boil,"49,551"
Summer,Pellet,6.2,Boil,"3,362"
Summit,Pellet,17.4,Boil,"21,319"
Super Alpha,Pellet,12.8,Boil,719
Super Styrians,Pellet,9.3,Boil,640
Taiheke,Pellet,7.2,Boil,"1,668"
Talisman,Pellet,8,Boil,31
Target,Pellet,10.8,Boil,"16,140"
Tettnanger,Pellet,4.2,Boil,"68,000"
Tomahawk,Leaf/Whole,15.3,Boil,"2,655"
Topaz,Pellet,15.9,Boil,"3,489"
Ultra,Pellet,5.8,First Wort,643
Vanguard,Pellet,5.1,Boil,"2,641"
Vic Secret,Pellet,16.6,Boil,"13,615"
Wai-iti,Pellet,3,Boil,"5,468"
Waimea,Pellet,16.4,Dry Hop,"5,517"
Wakatu,Pellet,7.3,Boil,"6,058"
Warrior,Pellet,16,Boil,"49,257"
Whitbread Golding,Pellet,6.2,Boil,"1,756"
Willamette,Leaf/Whole,4.7,Boil,"101,882"
Wye Challenger,Leaf/Whole,9.9,Boil,208
Wye Target,Leaf/Whole,10.1,Boil,234
Yakima Cluster,Leaf/Whole,7.3,Boil,718
Yamhill Goldings,Pellet,4.1,Aroma,42
Yeoman,Leaf/Whole,7.4,Whirlpool,38
Zamba,Pellet,9.7,Whirlpool,"1,008"
Zappa,Pellet,6.5,Whirlpool,"1,238"
Zenith,Leaf/Whole,8.9,Boil,35
Zeus,Leaf/Whole,15.5,Boil,"5,117"
Zythos,Pellet,10.6,Boil,"8,035"
47 Hops - Amarillo,Leaf/Whole,9.5,Boil,327
47 Hops - Crystal,Pellet,4.2,Boil,147
47 Hops - Galaxy,Pellet,16.5,Whirlpool,188
47 Hops - HCB 586,Pellet,13,Boil,4
47 Hops - Huell Melon,Pellet,7.4,Dry Hop,96
47 Hops - Mandarina Bavaria,Pellet,10.5,Whirlpool,259
47 Hops - Saaz,Pellet,3.7,Boil,595
47 Hops - Super Styrian,Pellet,8.4,Boil,18
Artisan - Amarillo,Pellet,8.2,Boil,"1,166"
Artisan - Cascade,Leaf/Whole,5.9,Boil,"3,866"
Artisan - Cashmere,Pellet,8.9,Boil,62
Artisan - Centennial,Pellet,9.6,Boil,"1,584"
Artisan - Chinook,Pellet,11.6,Boil,"1,222"
Artisan - Citra,Pellet,12.2,Dry Hop,"1,809"
Artisan - Columbus (CTZ),Pellet,15,Boil,"1,302"
Artisan - Crystal,Leaf/Whole,4.1,Whirlpool,202
Artisan - Dr. Rudi,Pellet,10.5,Boil,3
Artisan - Ekuanot,Leaf/Whole,14.7,Dry Hop,76
Artisan - Fuggle (UK),Pellet,5.2,Boil,943
Artisan - Fuggle (US),Pellet,4.6,Boil,342
Artisan - Galaxy,Pellet,14.1,Whirlpool,657
Artisan - Galena,Pellet,13.1,Boil,106
Artisan - German Herkules,Pellet,15,Boil,35
Artisan - German Select,Pellet,4.4,Boil,145
Artisan - Goldings,Pellet,5.1,Boil,102
Artisan - Hallertau Blanc,Pellet,10.2,Boil,216
Artisan - Hallertau Mittelfruh,Pellet,4,Aroma,"1,594"
Artisan - Hersbrucker,Pellet,3.4,Boil,283
Artisan - Horizon,Pellet,12,Boil,17
Artisan - Hull Melon,Lupulin Pellet,7,Boil,404
Artisan - Idaho #7,Pellet,13.4,First Wort,"1,969"
Artisan - Idaho Gem,Pellet,14.3,Boil,3
Artisan - Jarrylo,Pellet,14.9,Boil,15
Artisan - Kent Goldings,Pellet,4.8,Boil,881
Artisan - Lemondrop,Pellet,6.9,Boil,8
Artisan - Liberty,Pellet,4.7,Boil,169
Artisan - Magnum,Pellet,12,Boil,"2,077"
Artisan - Mandarina Bavaria,Pellet,7,Whirlpool,290
Artisan - Medusa,Pellet,3,Aroma,114
Artisan - Mosaic,Pellet,12.2,Whirlpool,931
Artisan - Motueka,Pellet,7,Whirlpool,264
Artisan - Northern Brewer,Pellet,8.2,Boil,646
Artisan - Perle,Pellet,7.1,Boil,766
Artisan - Saaz (Czech),Pellet,3.5,Boil,"2,208"
Artisan - Saaz (US),Pellet,3.9,Boil,397
Artisan - Saphir,Pellet,3.4,Boil,131
Artisan - Simcoe,Pellet,13.4,Boil,"1,169"
Artisan - Southern Passion,Pellet,9.4,Boil,349
Artisan - Spalt,Pellet,4.7,Boil,170
Artisan - Strisselspalt,Leaf/Whole,1.6,Boil,39
Artisan - Styrian Goldings,Leaf/Whole,4,Boil,408
Artisan - Summit,Pellet,16.9,Boil,123
Artisan - Tettnanger,Pellet,4.4,Boil,20
Artisan - Trident,Pellet,13.1,Dry Hop,2
Artisan - UK Archer,Pellet,4.7,Boil,97
Artisan - US Eureka,Pellet,17.8,Whirlpool,411
Artisan - Warrior,Pellet,16.9,Boil,284
Artisan - Willamette,Pellet,5.4,Boil,755
Artisan - Zappa,Pellet,5.6,Dry Hop,70
Australien - VIC SECRET,Pellet,18.5,Aroma,9
backroads hops - Magnum,Pellet,13.6,Boil,12
Bakke Brygg - Chinook,Pellet,12.7,Boil,4
Barth-Haas - Admiral,Pellet,14.2,Aroma,44
Barth-Haas - Agnus,Pellet,11.1,Boil,45
Barth-Haas - Ahtanum,Lupulin Pellet,6.2,Dry Hop (High Krausen),20
Barth-Haas - Amarillo,Pellet,9.3,Boil,567
Barth-Haas - Amarillo BBC,Pellet,7.5,Boil,8
Barth-Haas - Aramis,Pellet,7.5,Boil,364
Barth-Haas - Ariana,Pellet,11.3,Boil,214
Barth-Haas - Aurora,Pellet,8.3,Boil,36
Barth-Haas - Azacca,Pellet,14.6,Boil,142
Barth-Haas - Boadicea,Pellet,7.8,Aroma,65
Barth-Haas - Bobek,Pellet,5.2,Boil,283
Barth-Haas - Bramling Cross,Leaf/Whole,6,Boil,37
Barth-Haas - Brewers Gold,Pellet,6.1,Boil,221
Barth-Haas - Bru-1,Pellet,12.3,Whirlpool,34
Barth-Haas - Callista,Pellet,4.1,Dry Hop,205
Barth-Haas - Cascade,Pellet,6,Boil,"1,167"
Barth-Haas - Cashmere,Pellet,8.4,Boil,"1,848"
Barth-Haas - Celeia,Pellet,4,Boil,531
Barth-Haas - Centennial,Pellet,10.3,Boil,824
Barth-Haas - Chelan,Leaf/Whole,13.3,Boil,3
Barth-Haas - Chinook,Pellet,12.6,Boil,472
Barth-Haas - Citra,Pellet,13.3,Boil,"2,732"
Barth-Haas - Citra BBC,Pellet,12.3,Dry Hop,7
Barth-Haas - Cluster,Pellet,7,Boil,72
Barth-Haas - Columbus,Leaf/Whole,14.9,First Wort,661
Barth-Haas - Comet,Pellet,10.5,Boil,76
Barth-Haas - Crystal,Leaf/Whole,4.8,Boil,88
Barth-Haas - East Kent Golding,Leaf/Whole,5.5,Boil,739
Barth-Haas - Ekuanot,Pellet,14.9,Boil,368
Barth-Haas - Ella,Pellet,15,Boil,82
Barth-Haas - Endeavour,Pellet,9.1,Boil,118
Barth-Haas - Enigma,Pellet,14.9,Whirlpool,"1,529"
Barth-Haas - Extra Styrian Dana,Pellet,14.8,Boil,64
Barth-Haas - First Gold,Pellet,7.1,Dry Hop,31
Barth-Haas - Fuggles,Pellet,4.3,Boil,388
Barth-Haas - Galaxy,Pellet,14,Dry Hop,646
Barth-Haas - Galena,Leaf/Whole,12.4,First Wort,58
Barth-Haas - Glacier,Pellet,6.7,Boil,15
Barth-Haas - Hallertau Blanc,Pellet,10.3,Dry Hop,199
Barth-Haas - Hallertauer Magnum,Pellet,13.4,Boil,"1,734"
Barth-Haas - Hallertauer Mittelfrüher,Pellet,4.4,Boil,741
Barth-Haas - Hallertauer Taurus,Pellet,12.9,Boil,70
Barth-Haas - Hallertauer Tradition,Pellet,5.5,Boil,507
Barth-Haas - Harmonie,Pellet,6.7,Boil,40
Barth-Haas - Herkules,Pellet,15.4,Boil,290
Barth-Haas - Hersbrucker Spät,Leaf/Whole,2.9,Boil,137
Barth-Haas - Huell Melon,Pellet,7.6,Whirlpool,185
Barth-Haas - Kazbek,Pellet,6.1,Boil,293
Barth-Haas - Loral,Pellet,10.8,Dry Hop,120
Barth-Haas - Lublin,Pellet,3.8,Dry Hop,28
Barth-Haas - Magnat,Pellet,13.2,Boil,45
Barth-Haas - Mandarina Bavaria,Pellet,8.5,Boil,324
Barth-Haas - Marynka,Pellet,9.7,Boil,87
Barth-Haas - Millennium,Pellet,15.5,Boil,9
Barth-Haas - Monroe,Leaf/Whole,3.5,Boil,15
Barth-Haas - Mosaic,Pellet,13.8,Boil,"1,262"
Barth-Haas - Mt. Hood,Pellet,5.4,Boil,601
Barth-Haas - National,Pellet,4.2,Boil,4
Barth-Haas - Northern Brewer,Pellet,9,Boil,305
Barth-Haas - Nugget,Pellet,11.9,First Wort,311
Barth-Haas - Opal,Pellet,6.5,Boil,1
Barth-Haas - Pahto,Pellet,18.6,Boil,501
Barth-Haas - Palisade,Pellet,8.1,Whirlpool,14
Barth-Haas - Perle,Pellet,4.1,First Wort,160
Barth-Haas - Pilgrim,Pellet,10.8,Boil,15
Barth-Haas - Polaris,Pellet,20.5,Boil,824
Barth-Haas - Premiant,Pellet,6,Boil,143
Barth-Haas - Progress,Pellet,6.5,Boil,3
Barth-Haas - Relax,Pellet,1.5,First Wort,11
Barth-Haas - Saaz Late,Pellet,4.7,Boil,190
Barth-Haas - Saazer,Pellet,4.4,Boil,572
Barth-Haas - Sabro,Pellet,14.2,Boil,"2,216"
Barth-Haas - Saphir,Pellet,3.2,Boil,144
Barth-Haas - Simcoe,Pellet,13.1,Boil,"1,023"
Barth-Haas - Sladek,Lupulin Pellet,6.7,Boil,278
Barth-Haas - Smaragd,Pellet,5.3,Dry Hop,93
Barth-Haas - Sorachi Ace,Pellet,14,Boil,101
Barth-Haas - Sovereign,Pellet,5.5,Boil,2
Barth-Haas - Spalt Spalter,Pellet,4.2,Boil,111
Barth-Haas - Spalter Select,Pellet,4.9,Boil,150
Barth-Haas - Strisselspalt,Pellet,2.2,Whirlpool,75
Barth-Haas - Styrian Gold,Pellet,4.7,Boil,112
Barth-Haas - Styrian Savinjski Golding,Pellet,4.2,Boil,152
Barth-Haas - Summit,Leaf/Whole,15.8,Boil,104
Barth-Haas - Super Galena,Pellet,14.3,Boil,66
Barth-Haas - Super Pride,Pellet,14.3,Boil,171
Barth-Haas - Sybilla,Leaf/Whole,7,Boil,42
Barth-Haas - Tahoma,Pellet,7.5,Boil,31
Barth-Haas - Tettnang Tettnanger,Pellet,4,Boil,619
Barth-Haas - Topaz,Pellet,15.8,Dry Hop,36
Barth-Haas - Triple Pearl,Pellet,10.1,Boil,525
Barth-Haas - Triskel,Pellet,7.3,Boil,125
Barth-Haas - Vic Secret,Pellet,16.3,Whirlpool,154
Barth-Haas - Vital,Pellet,12.3,Boil,46
Barth-Haas - Warrior,Leaf/Whole,15.2,Boil,66
Barth-Haas - Whitbread Golding Variety,Leaf/Whole,6.3,Boil,13
Barth-Haas - Willamette,Pellet,5.1,Boil,199
Barth-Haas - Wye Challenger,Pellet,7.4,Aroma,77
Barth-Haas - Wye Target,Pellet,10.6,Boil,28
Barth-Haas - Zeus,Pellet,15.8,Boil,55
bay wa ag - saaz,Leaf/Whole,3.2,Boil,2
bay wa ag - tettnanger,Leaf/Whole,4,Boil,10
beer secret - East Kent Golding,Pellet,5,Boil,2
beerex - Citra,Pellet,12.5,Boil,3
beerex - Idaho 7,Pellet,13.1,Boil,6
beerex - Mosaic,Pellet,12.3,Boil,3
bohemia hop - Saaz,Pellet,4.2,Boil,4
Brewer’s Best - Amarillo,Pellet,8.6,Boil,3
Brewferm - African Queen,Pellet,11.4,Boil,15
Brewferm - Amarillo,Pellet,10.2,Boil,6
Brewferm - Aramis,Pellet,7.1,Boil,8
Brewferm - Barbe Rouge,Pellet,10.2,Boil,43
Brewferm - Columbus,Pellet,13.3,Boil,3
Brewferm - Fuggles,Pellet,3,Boil,2
Brewferm - Hallertau Hersbrucker,Leaf/Whole,4.2,Boil,139
Brewferm - Hallertau Mittelfrüh,Pellet,4.2,Boil,296
Brewferm - Magnum,Pellet,14,Boil,3
Brewferm - Northern Brew,Pellet,7,Boil,3
Brewferm - Polaris,Pellet,18.6,First Wort,12
Brewferm - Smaragd,Pellet,5.8,Boil,4
Brewferm - Southern Dawn,Pellet,13.3,Boil,69
Brewferm - Southern Star,Pellet,14.4,Boil,98
Brewferm - Target,Pellet,10.4,Boil,1
Brewferm - Tettnanger,Pellet,4,Boil,37
Brewland Japan - Mosaic,Pellet,8.7,Boil,2
Brewland Japan - Motueka,Pellet,6.7,Boil,2
brewmart - Fuggles,Pellet,4.6,Aroma,1
Brewmaster - Amarillo,Pellet,9.6,Whirlpool,163
Brewmaster - Czech Saaz,Pellet,3.2,Boil,"3,724"
Brewmaster - First Gold,Pellet,6.8,Boil,3
Brewmaster - Mandarina Bavaria,Leaf/Whole,9.3,Boil,102
Brewmaster - Northern Brewer,Pellet,7.4,Boil,129
Brewshop - Huell Melon,Leaf/Whole,6.6,Boil,3
Brewshop - Jester,Pellet,7.6,Aroma,3
Brewshpo - Ahtanum,Pellet,5,Dry Hop,5
BSG - Ahtanum,Pellet,4.1,Boil,59
BSG - Azacca,Pellet,13.6,Boil,421
BSG - Cascade,Leaf/Whole,7.9,Boil,"1,733"
BSG - Centennial,Pellet,10.3,Boil,"1,155"
BSG - Challenger,Pellet,7.1,Boil,512
BSG - Chinook,Pellet,12.5,Boil,876
BSG - Citra,Pellet,12.3,Boil,"2,251"
BSG - CTZ,Pellet,15.4,Boil,590
BSG - East Kent Goldings,Pellet,5.2,Boil,"1,367"
BSG - Falconer's Flight,Pellet,10.4,Dry Hop,104
BSG - First Gold Uk,Pellet,7.8,Dry Hop,59
BSG - Fuggle,Pellet,4.5,Boil,444
BSG - Galaxy,Pellet,14.5,Dry Hop,832
